draw_date,draw_date_text,year_be,first_prize,first_prize_digits,last3_numbers,last2_number,near_first_prize,special_first_prize_raw,prize2_numbers,prize3_numbers,prize4_numbers,prize5_numbers,has_detail_section,source_url,source_file
2006-12-30,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 30 ธันวาคม 2549,2549,778584,6,164|403|811|971,07,778585|778583,รางวัลที่ 1 พิเศษ กลุ่มที่ 1 รางวัลละ 30 ล้านบาท ชุดที่ 28 หมายเลข 778584 กลุ่มที่ 2 รางวัลละ 16 ล้านบาท ชุดที่ 60 หมายเลข 778584,133134|468424|509756|515202|640052,039111|243210|672933|783856|883417|106962|572025|747619|788562|949422,002133|127527|356486|683160|867786|032265|157152|386925|689045|872541|044600|169222|396818|690297|896727|075557|187299|418273|738817|915911|095795|198514|434194|758710|929384|109439|213242|538756|770442|945876|110810|222038|606060|789377|947445|112031|264843|608167|829263|965430|126449|305297|613879|853486|981194|127436|310318|667721|864513|982009,004495|228417|398164|570848|737731|034106|230865|398995|584444|742541|049904|242039|409554|590319|748829|067124|242762|412334|592632|758763|069215|250155|432868|596595|772166|070092|288678|448126|627814|778816|100878|306411|463860|628798|781353|102543|313144|476405|642846|783383|129948|314042|496238|650510|804541|132951|321908|512379|653801|811450|139652|323772|512864|657303|814987|148659|332255|517389|658195|857430|158191|334385|524471|659826|858640|169092|360469|524612|672627|880979|178870|361908|526897|681301|896677|189115|369027|551450|702980|903983|191825|371207|554668|703296|921115|201127|386380|555292|704141|925084|203872|388597|564731|723828|956939|224131|389859|566015|731281|971877,True,https://myhora.com/lottery/result-30-12-2549.aspx,2006-12-30-BE2549.html
2006-12-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 ธันวาคม 2549,2549,147977,6,197|439|647|694,45,147978|147976,รางวัลที่ 1 พิเศษ กลุ่มที่ 1 รางวัลละ 30 ล้านบาท ชุดที่ 28 หมายเลข 147977 กลุ่มที่ 2 รางวัลละ 16 ล้านบาท ชุดที่ 66 หมายเลข 147977,105757|353186|462842|623974|824724,052730|408524|466204|654192|702226|310391|463489|517390|671141|952333,003131|247660|410759|644415|880525|010500|255442|415964|648223|898055|040145|282971|451574|657760|904387|050135|292370|459729|659114|912962|121584|293462|469120|669134|917253|153682|341995|493374|671574|918280|170065|352345|520559|688570|953858|187753|355839|548131|723779|994379|205666|358315|562060|726648|995457|211655|384938|579925|756912|996392,018283|231177|438387|646757|795290|027618|235230|443336|665628|804994|030625|235863|461909|667264|805979|033487|241029|481562|671761|821412|077550|249951|486096|671853|824124|082337|260082|489356|677902|837002|085498|262003|492135|687839|839662|093516|279329|503769|689674|853425|097381|282602|519986|694264|868258|104679|287072|522649|699301|872350|108071|322277|540017|727989|879955|154539|328917|540330|730301|884148|157234|354355|549201|737208|886886|164691|365849|549471|739554|901544|185744|369210|558132|741933|903053|189894|375452|561944|762714|911730|198033|385401|571847|767548|913309|205521|403835|591315|767669|928840|229225|428882|614529|782266|937977|230456|430792|617312|794113|999653,True,https://myhora.com/lottery/result-16-12-2549.aspx,2006-12-16-BE2549.html
2006-12-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 ธันวาคม 2549,2549,270052,6,091|236|462|621,12,270053|270051,รางวัลที่ 1 พิเศษ กลุ่มที่ 1 รางวัลละ 30 ล้านบาท ชุดที่ 17 หมายเลข 270052 กลุ่มที่ 2 รางวัลละ 16 ล้านบาท ชุดที่ 54 หมายเลข 270052,324883|427170|458197|481260|866114,016710|082810|592585|856205|984955|029857|510759|672789|957886|985261,010407|242128|363419|535796|720673|018099|249372|366936|568949|747439|018696|251722|371402|589200|789843|061287|264184|372225|592627|840225|089423|269748|379471|613906|900355|100559|282263|400442|627409|903711|159220|287218|413116|665362|917537|166060|324780|436587|686443|963615|178070|336520|438675|696620|971447|200112|348986|534696|709858|981207,004015|157088|383117|577536|760961|004028|162341|406904|581162|769350|009205|164666|418401|593950|779585|010397|208945|429887|601717|782644|014716|218432|432545|622017|792878|033673|235242|439004|633414|805393|048318|252365|455529|633447|834917|050192|255110|477085|661857|864966|052110|256360|479833|680316|884065|078624|257231|484780|686434|894131|080835|260022|487424|698017|926259|095791|269536|503592|707772|933660|100347|298096|506002|722609|940391|104235|314259|520478|726215|946330|111088|330762|544438|730916|968605|112079|339791|549267|742396|982081|132069|350478|552439|749051|986051|139548|374989|560625|754602|987172|146762|380507|563394|755621|991461|149218|381196|566081|760208|997723,True,https://myhora.com/lottery/result-01-12-2549.aspx,2006-12-01-BE2549.html
2006-11-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 พฤศจิกายน 2549,2549,562856,6,307|347|508|680,94,562857|562855,รางวัลที่ 1 พิเศษ กลุ่มที่ 1 รางวัลละ 30 ล้านบาท ชุดที่ 05 หมายเลข 562856 กลุ่มที่ 2 รางวัลละ 16 ล้านบาท ชุดที่ 57 หมายเลข 562856,485253|579475|620846|971028|982688,142760|231701|474190|701842|859767|227490|354704|486760|807083|945718,008674|172971|371806|543603|792344|034917|180213|378382|582674|821243|040739|205577|391783|589055|821309|046150|241620|400953|612820|823739|062083|263324|408901|652058|829478|091772|289922|460130|711295|893861|109166|300314|470128|750608|921753|117833|334940|487158|757823|924704|135939|351721|513080|759214|935821|147196|356516|526522|790463|948581,011799|190438|325424|569442|757300|044530|193863|340429|572804|766119|074134|193865|348659|586399|771348|081952|210386|349855|588415|788377|084037|221285|350065|588534|834554|091853|227455|358852|599474|838351|100847|232264|385655|602079|839819|105140|239012|390179|602198|846594|115476|249194|390798|634807|850465|124636|257974|394344|644445|870198|139918|259113|395037|648536|885768|144709|287144|402937|652500|907878|149029|288614|429552|652713|908058|149170|290668|459615|653322|913339|150212|302593|528966|664505|922234|151138|306222|533486|672863|931002|170807|306336|538508|678994|949650|172082|308536|538998|684103|951249|182720|313028|552057|696445|972702|184207|316437|553144|745519|986650,True,https://myhora.com/lottery/result-16-11-2549.aspx,2006-11-16-BE2549.html
2006-11-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 พฤศจิกายน 2549,2549,910957,6,137|647|739|905,29,910958|910956,รางวัลที่ 1 พิเศษ กลุ่มที่ 1 รางวัลละ 30 ล้านบาท ชุดที่ 21 หมายเลข 910957 กลุ่มที่ 2 รางวัลละ 16 ล้านบาท ชุดที่ 63 หมายเลข 910957,263770|373640|648300|757766|878847,225567|384329|432386|613572|835682|333871|425631|537758|627430|875281,021254|337729|446296|649556|860646|024728|342105|448808|656699|862939|051154|348358|455002|693456|917209|135377|369383|481127|734592|930590|177751|373325|481269|742423|956794|226503|375422|545675|769676|964844|256253|387306|555948|831949|984302|271092|402013|622532|832270|986162|278074|405908|631066|844183|986450|320078|409926|647479|858020|995811,018924|236449|402335|622834|833923|031401|248822|411251|630155|838905|037120|265190|412180|642526|850065|048111|267143|420727|678435|863253|057765|290654|428937|709107|867184|079680|294208|439640|718738|870106|082356|301042|447855|720200|870679|100459|303169|462953|724849|872657|114270|311402|469107|737322|873013|146492|315397|475565|740176|873522|155386|318168|491143|745691|882783|170676|318693|495388|751116|883768|176698|328649|496616|778655|893883|177671|352116|513173|782468|928625|179258|353188|543118|783927|934958|184531|353503|555148|790203|937584|187702|359507|566343|795483|953155|197175|359849|572975|811903|972919|208607|375891|600382|830468|973374|215301|392761|611471|833181|988285,True,https://myhora.com/lottery/result-01-11-2549.aspx,2006-11-01-BE2549.html
2006-10-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 ตุลาคม 2549,2549,264825,6,092|358|832|903,58,264826|264824,รางวัลที่ 1 พิเศษ กลุ่มที่ 1 รางวัลละ 30 ล้านบาท ชุดที่ 21 หมายเลข 264825 กลุ่มที่ 2 รางวัลละ 16 ล้านบาท ชุดที่ 63 หมายเลข 264825,013817|279249|302646|755282|772299,046826|104325|201102|363641|623220|100272|158718|357973|569366|816234,005424|247796|508825|695212|887100|017848|279653|510563|724942|919434|072810|303256|575137|724975|928287|106474|317522|625411|725234|929426|114269|350231|654280|731541|933497|129075|396320|673068|791151|961899|140284|442658|684174|813001|977273|157304|468771|684417|828027|988369|234219|473927|685792|835465|995603|234686|507904|690573|839517|998032,002288|167536|353225|567065|829000|003884|198260|359594|576853|836018|045179|216747|379879|579168|844247|048392|229997|385810|635359|849591|057910|232172|388271|644447|852084|062019|234811|389885|647855|858953|066351|245363|397924|649179|863298|076714|247698|412074|650475|864341|083554|249600|463872|664216|868205|084640|249643|468330|682195|871670|089494|253714|483997|696483|919124|093236|254002|487841|711246|922806|099388|256008|489502|723350|933975|105825|261318|505844|754821|935260|111489|271237|515753|755859|957673|113481|274761|532735|755997|961884|132229|292534|537771|759037|964963|138901|298141|538424|767636|967446|159833|341360|549487|773572|982897|166348|344899|564387|778977|989291,True,https://myhora.com/lottery/result-16-10-2549.aspx,2006-10-16-BE2549.html
2006-10-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 ตุลาคม 2549,2549,952335,6,007|804|879|951,92,952336|952334,รางวัลที่ 1 พิเศษ กลุ่มที่ 1 รางวัลละ 30 ล้านบาท ชุดที่ 23 หมายเลข 952335 กลุ่มที่ 2 รางวัลละ 16 ล้านบาท ชุดที่ 52 หมายเลข 952335,125025|283540|761608|854204|866017,060918|260855|430769|551925|868224|063575|357190|517721|856575|881012,015375|260912|390465|607709|798153|063399|280827|441412|609674|801605|078119|296726|443985|697084|835839|083147|323065|458171|700759|868689|094283|330369|465812|730393|881066|113431|340625|497012|755702|885764|121900|347886|523874|767619|908707|152874|360678|533677|772586|927803|203335|366051|594727|772881|953728|238249|390124|606075|777868|993678,004398|287716|452218|592066|832274|017613|290269|453337|610279|837310|018242|304320|453392|612138|841289|050778|307081|459550|626107|849148|066713|317934|460637|648139|863051|072061|348280|471383|666262|870675|081855|352714|476573|678806|873380|089994|354404|479091|689891|884831|100448|354863|480524|697165|898999|120076|361773|497283|707877|910570|124462|364827|502203|715960|911050|139809|380355|514222|719898|916445|147057|385078|543653|728053|931088|169669|392105|543838|740976|935961|184474|424696|544093|742998|941818|245305|428115|565084|759578|945233|245419|434605|571900|769709|947073|249728|440590|577675|794386|964061|266631|447199|582261|811426|965251|267481|447744|591650|830435|971842,True,https://myhora.com/lottery/result-01-10-2549.aspx,2006-10-01-BE2549.html
2006-09-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 กันยายน 2549,2549,217948,6,121|290|864|916,41,217949|217947,รางวัลที่ 1 พิเศษ กลุ่มที่ 1 รางวัลละ 30 ล้านบาท ชุดที่ 06 หมายเลข 217948 กลุ่มที่ 2 รางวัลละ 16 ล้านบาท ชุดที่ 65 หมายเลข 217948,104218|538129|814043|929921|977467,044651|055844|527714|627570|843515|047012|480798|627297|642874|940422,048826|261517|385852|582736|787137|051936|265361|388402|611003|821036|102564|266614|406132|652939|833222|141156|269162|412191|664514|841851|172528|270938|455716|667339|883285|180206|291974|470160|673236|889829|195215|299500|488754|730202|919355|200002|316210|524101|731594|937028|216721|361057|569602|758404|939917|238628|369634|581635|783085|960606,043770|143564|378243|521883|736167|045668|144481|382704|558436|736805|046438|158834|386282|559081|739434|049208|179456|387612|577093|739789|071071|188360|393135|580394|740986|072253|196844|406122|590928|758388|077261|199621|420141|591640|792152|081251|208694|438870|597774|793429|085807|251552|440286|602033|805797|086037|263487|440838|609276|820950|087446|266219|445400|632180|832036|089236|271329|445600|637321|863823|091521|280762|461592|638538|869199|096568|316676|461872|645779|888482|108884|321656|465760|666416|895665|112364|325818|476065|675125|924541|120375|330127|484196|696851|950666|129247|366186|486997|720657|978770|134020|367465|498124|724291|986544|137991|377605|498327|728557|991370,True,https://myhora.com/lottery/result-16-09-2549.aspx,2006-09-16-BE2549.html
2006-09-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 กันยายน 2549,2549,381761,6,093|600|626|693,44,381762|381760,รางวัลที่ 1 พิเศษ กลุ่มที่ 1 รางวัลละ 30 ล้านบาท ชุดที่ 14 หมายเลข 381761 กลุ่มที่ 2 รางวัลละ 16 ล้านบาท ชุดที่ 60 หมายเลข 381761,054367|259647|521270|843029|933064,167007|325483|599427|776027|922123|240060|330775|640882|791146|958391,016070|259953|467072|699006|880686|032067|281817|482371|717585|884761|072328|288917|502015|722561|897454|102662|296573|553265|755320|915085|115938|308558|588784|771602|915345|139062|324631|623811|771782|937006|151616|358403|631507|787160|941043|166354|378862|642343|841094|950063|249028|429598|649066|841214|951863|256431|430197|661767|860553|986643,012855|220130|352659|511894|738179|014111|223883|354642|520821|793134|030690|223956|356714|524589|806013|034013|231987|362229|543191|808340|056626|234743|364016|547322|853093|076724|236106|365654|563934|862964|093497|251108|367774|568252|870582|102877|261999|367848|574998|871197|108561|262388|370061|603471|873147|110878|291190|387878|604683|876065|112674|291853|391843|607865|915114|140981|293649|414321|611686|920234|150957|294987|432807|619228|924754|152474|300200|436773|631718|947946|171064|303804|455712|651932|949877|180715|305347|456673|664501|959173|186053|324105|465365|693973|970491|189451|331873|469043|703422|971062|202134|339671|470673|708417|982020|206793|352217|479439|715385|999075,True,https://myhora.com/lottery/result-01-09-2549.aspx,2006-09-01-BE2549.html
2006-08-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 สิงหาคม 2549,2549,977486,6,103|221|230|305,91,977487|977485,รางวัลที่ 1 พิเศษ กลุ่มที่ 1 รางวัลละ 30 ล้านบาท ชุดที่ 25 หมายเลข 977486 กลุ่มที่ 2 รางวัลละ 16 ล้านบาท ชุดที่ 52 หมายเลข 977486,144321|758966|833862|985518|993079,149779|477655|570235|787564|958382|175958|489361|775865|885638|962378,007025|151143|474629|565307|817027|020881|155771|475456|605610|859283|052233|184225|481338|623117|875725|062753|261386|494718|648646|904782|074941|288005|524645|661014|915302|078307|314185|528467|693088|926431|082169|362322|531758|710670|926543|085775|363841|531956|796678|932227|090904|387791|543219|805726|953505|132383|408842|543523|812155|974211,003962|226994|388534|562078|795117|031910|229316|396051|573731|797471|038907|236894|400596|601907|817212|041131|243425|413947|603445|818896|052336|253520|427848|657018|822459|056808|274131|431205|670364|848930|071767|280423|435904|688502|849095|093977|282788|460802|689473|855239|097217|283369|461233|691414|878143|117677|284737|463613|700448|879582|131385|293015|484400|705923|884679|133634|306036|496187|715859|900666|156569|324971|514067|717769|906600|158941|333874|517637|720517|908327|174730|343980|518822|733851|948849|176001|346284|528695|738870|960011|176246|373311|532125|750302|972360|185179|373427|533503|775907|992529|202456|375379|538095|783143|996374|215404|381143|538509|787468|999673,True,https://myhora.com/lottery/result-16-08-2549.aspx,2006-08-16-BE2549.html
