draw_date,draw_date_text,year_be,first_prize,first_prize_digits,last3_numbers,last2_number,near_first_prize,special_first_prize_raw,prize2_numbers,prize3_numbers,prize4_numbers,prize5_numbers,has_detail_section,source_url,source_file
1996-01-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 มกราคม 2539,2539,318302,6,444|661|882|971,21,,,,,,,False,https://myhora.com/lottery/result-16-01-2539.aspx,1996-01-16-BE2539.html
1995-12-30,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 30 ธันวาคม 2538,2538,327686,6,145|456|748|928,04,,,,,,,False,https://myhora.com/lottery/result-30-12-2538.aspx,1995-12-30-BE2538.html
1995-12-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 ธันวาคม 2538,2538,952808,6,064|540|639|732,68,,,,,,,False,https://myhora.com/lottery/result-16-12-2538.aspx,1995-12-16-BE2538.html
1995-12-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 ธันวาคม 2538,2538,714426,6,073|387|427|516,74,,,,,,,False,https://myhora.com/lottery/result-01-12-2538.aspx,1995-12-01-BE2538.html
1995-11-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 พฤศจิกายน 2538,2538,239422,6,078|756|776|883,85,,,,,,,False,https://myhora.com/lottery/result-16-11-2538.aspx,1995-11-16-BE2538.html
1995-11-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 พฤศจิกายน 2538,2538,282069,6,194|393|564|962,07,,,,,,,False,https://myhora.com/lottery/result-01-11-2538.aspx,1995-11-01-BE2538.html
1995-10-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 ตุลาคม 2538,2538,322154,6,192|233|716|924,86,,,,,,,False,https://myhora.com/lottery/result-16-10-2538.aspx,1995-10-16-BE2538.html
1995-10-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 ตุลาคม 2538,2538,317092,6,088|139|296|819,76,,,,,,,False,https://myhora.com/lottery/result-01-10-2538.aspx,1995-10-01-BE2538.html
1995-09-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 กันยายน 2538,2538,876454,6,297|558|582|802,51,,,,,,,False,https://myhora.com/lottery/result-16-09-2538.aspx,1995-09-16-BE2538.html
1995-09-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 กันยายน 2538,2538,620837,6,255|644|693|872,83,,,,,,,False,https://myhora.com/lottery/result-01-09-2538.aspx,1995-09-01-BE2538.html
