draw_date,draw_date_text,year_be,first_prize,first_prize_digits,last3_numbers,last2_number,near_first_prize,special_first_prize_raw,prize2_numbers,prize3_numbers,prize4_numbers,prize5_numbers,has_detail_section,source_url,source_file
2021-08-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 สิงหาคม 2564,2564,910261,6,004|785,69,910260|910262,,066887|160318|539171|595909|855590,082120|555435|643775|750838|883379|132041|608849|674412|867551|886393,021397|244259|378866|648178|763177|022501|265038|381441|668299|795324|056646|277788|389378|677597|799834|079270|284511|430137|695149|804456|134576|301183|541495|697398|805116|147219|310226|549329|714225|831327|175126|332409|558893|729866|863195|177106|341165|576929|739577|867008|239621|343482|598485|742103|880786|241414|372490|641393|758424|991114,009563|279649|455477|663919|867459|019573|285558|459468|668613|871984|043634|295190|476807|669876|882706|048059|305487|484001|688436|887451|049837|332389|492746|691937|902815|053261|344504|494374|694700|909504|078928|345449|505605|695492|911440|083489|365317|516525|717808|913622|083778|377087|523979|731671|920284|085028|378970|524089|754556|924469|090929|380990|525748|754817|941148|093199|387658|553548|759676|944554|134561|399383|573579|767612|948766|137107|402635|587041|787051|980527|172825|405790|596127|803272|981352|182253|426922|599160|803961|983981|203911|432887|629603|811273|984148|211850|437927|650581|830676|985656|261718|442483|656837|856687|985753|265063|447789|657990|866842|992858,True,https://myhora.com/lottery/result-01-08-2564.aspx,2021-08-01-BE2564.html
2021-07-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 กรกฎาคม 2564,2564,556725,6,233|927,70,556724|556726,,293467|342247|365384|639692|892036,095209|296933|462414|640134|838873|277128|367947|569539|807558|932985,016597|155736|327020|535236|746858|018282|159233|338252|538659|790040|024202|248677|343742|559479|794604|038765|271683|354227|602217|832235|045572|275332|366094|648530|857273|051925|293411|469947|651528|884015|055601|311096|475009|657775|925115|055815|315510|486401|671916|956805|105592|318390|505611|714855|962063|140209|325522|515417|715322|982464,007627|251188|438507|671992|843701|014921|260120|439477|674251|855814|055625|265168|443899|678680|861678|065132|280974|450740|732924|869589|091945|291902|484657|733554|872593|101656|296085|490239|737081|894177|124542|316792|491913|742588|909462|134557|322045|533490|747659|920228|139829|330479|539094|756364|927155|140455|361165|544135|763007|931898|165161|361840|550535|769909|934811|165225|362848|553649|779790|937504|172547|364338|561789|791754|952029|183860|367147|598602|803430|954683|186880|387262|607991|809501|956575|193479|396784|610926|809815|963374|199349|397395|624631|811558|966665|216024|411744|645077|825152|987315|223578|430741|653357|830061|993779|242273|434142|660587|838703|995482,True,https://myhora.com/lottery/result-16-07-2564.aspx,2021-07-16-BE2564.html
2021-07-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 กรกฎาคม 2564,2564,713517,6,414|511,29,713516|713517,,398790|481761|577000|776514|907506,112633|449252|512824|594963|653703|370953|463647|515140|628602|781948,017608|149972|428306|651097|833388|024833|160589|449585|664498|835333|072071|192736|452963|675268|871053|091198|210018|458012|710137|888415|095053|232868|458468|717202|893891|123473|251695|498990|729892|929611|129551|277069|510525|732758|936260|137545|313543|593873|733558|937647|142611|341533|628663|781270|964413|145132|421711|633700|794728|973694,000629|187949|460573|601834|785886|011092|191837|475383|605880|788202|014157|201011|475726|612523|797524|018375|202367|477461|619755|804640|063070|202932|486927|622217|804975|070352|257811|490123|625879|828784|074427|260992|490408|634807|836782|100814|263811|515994|637704|839040|114350|270199|517459|664454|866756|124908|307174|518497|667280|867035|125711|372970|534021|681447|873452|131257|388645|537644|696504|885556|147125|408396|556247|697769|908626|155716|410982|569234|721872|916491|156629|413137|571668|724538|924142|157593|427262|575540|739848|929043|160527|427876|581453|746751|948875|175085|429252|584321|763571|970836|183697|430320|596411|765351|993368|184935|447246|596965|776210|993960,True,https://myhora.com/lottery/result-01-07-2564.aspx,2021-07-01-BE2564.html
2021-06-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 มิถุนายน 2564,2564,691861,6,447|668,17,691860|691862,,157919|366069|544617|680914|804425,112408|331371|395641|635554|851224|307839|338578|506490|690232|870009,014606|167725|437491|568097|758593|024799|193480|442916|580036|770346|030064|214739|495602|601497|792187|046667|217448|499861|607272|852152|053069|276853|520488|666947|854026|062912|308180|526196|675198|868614|078011|328739|526772|677012|869012|108375|335487|531596|723389|933510|108448|343705|540189|730333|947561|148651|422605|563169|744331|964404,009357|202694|386154|636298|843745|014554|213478|395201|640854|844926|024139|218559|399671|642209|894556|027182|227021|408240|654066|904372|034057|236763|431404|679762|907179|059790|238991|448345|686284|913840|066180|239927|484852|693415|915719|081038|260916|485030|735661|923085|091476|265333|496285|739522|924688|110239|269953|524649|747603|927292|122667|272250|529894|748893|936497|125374|278597|543172|762697|966596|128467|299016|549049|766853|968693|130622|323682|570759|778610|972021|168297|337420|572292|788423|975179|177720|362236|600869|793065|979186|181645|379459|605621|798086|985604|192665|381315|611061|825286|989396|199588|382909|626253|841177|995668|201170|383850|628922|842201|997898,True,https://myhora.com/lottery/result-16-06-2564.aspx,2021-06-16-BE2564.html
2021-06-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 มิถุนายน 2564,2564,292972,6,723|978,45,292971|292973,,124848|656917|702393|731422|830707,047586|207831|571494|634074|842774|111294|240372|599444|726710|855177,006048|125789|449216|635535|812789|020925|137289|522964|641913|865643|027436|197921|526180|642181|880066|048528|204961|527799|644918|896004|067688|207420|530000|656206|899781|076362|283709|565325|697733|900781|085454|299036|569724|725316|926246|105316|362244|576016|727472|926442|110194|378965|602448|761737|986326|124263|416535|632833|763319|995773,002418|225056|419119|620608|846016|014635|243232|433922|636976|860480|019482|249505|457219|642906|865864|023106|251110|457787|648209|870396|029959|252405|473267|677358|876118|032207|254602|475979|690455|880579|049645|272894|479140|711487|883729|070657|282634|484708|726020|918862|073993|301394|495678|736101|919990|102644|312210|508414|741902|924799|111867|313126|508992|752411|935053|114950|315471|516016|773402|939749|146173|315799|518335|773824|942313|153100|331045|530110|794429|953195|170625|359552|531183|813350|954252|179463|361921|558477|815824|955367|194798|397615|568874|821240|967850|200399|412070|580111|821392|977166|210577|414407|597180|833115|978357|217829|416628|602823|838698|998901,True,https://myhora.com/lottery/result-01-06-2564.aspx,2021-06-01-BE2564.html
2021-05-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 พฤษภาคม 2564,2564,684579,6,276|970,14,684578|684580,,029555|030705|252537|397364|673800,039048|355222|520561|736653|844801|218742|381159|624502|740510|868797,003760|261130|478298|712396|887714|040531|262458|479718|714496|901864|089444|300665|484562|719644|915503|183835|305521|526700|720674|932207|199443|331568|532431|757428|947316|214351|340311|569087|775085|953661|222646|367050|580927|796486|957524|250992|412734|590912|819365|979021|256717|419473|635067|831164|988738|260332|422433|651151|880914|992429,000125|238226|338269|556039|794646|018171|243510|339454|566721|811666|024950|243724|342399|572547|816269|045442|251970|343811|595269|817669|057981|262303|366485|599484|834010|097117|267529|373876|644985|845157|098803|270377|381929|645915|885758|114790|273451|401716|648233|889481|120564|274813|420009|656746|904626|131742|281162|450295|668675|908140|132294|294072|458052|686042|913555|132789|296868|467694|698855|933375|169838|306208|470548|706900|949488|178823|307696|492229|716015|961360|188976|307771|494665|720643|967097|194720|313162|498796|730325|971506|220155|313314|512198|748629|983827|229945|321781|521370|757923|991315|231943|322047|524950|765262|993184|236745|333912|532509|777455|998229,True,https://myhora.com/lottery/result-16-05-2564.aspx,2021-05-16-BE2564.html
2021-05-02,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 2 พฤษภาคม 2564,2564,501272,6,129|498,18,501271|501273,,002380|357939|514339|877352|900413,055077|178971|709773|735155|823120|168007|236291|722224|755045|908640,001038|167105|327373|493534|757822|005163|168015|344991|537569|767452|018137|217371|351904|544620|780525|057096|251389|359804|546692|782939|058011|268687|375207|549321|789765|083299|290932|385707|560123|813078|083596|297314|400507|615396|922726|100096|297407|407771|633931|928832|153465|317050|423385|654321|957451|158506|318906|455549|659033|998769,012508|266307|535198|654584|834603|021078|272593|538128|664331|843657|026282|272706|539195|666768|845072|065471|283855|562375|670961|856497|066822|301241|564270|676179|857405|109502|329282|575012|691935|863710|113580|334693|576366|693803|868897|121972|340310|587083|706006|869752|127869|367911|593821|708255|874607|131512|405224|599255|726769|878873|143223|421834|611602|739250|881738|158826|442160|612595|748840|882779|158927|471611|613298|762722|924475|163816|478978|621051|775905|946392|164745|480968|626161|782121|951971|177803|488609|636188|789957|953113|192767|492412|638795|805540|955268|204862|494426|641860|808032|956530|214738|497769|646497|828182|976222|246615|502699|648682|833149|994676,True,https://myhora.com/lottery/result-02-05-2564.aspx,2021-05-02-BE2564.html
2021-04-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 เมษายน 2564,2564,100787,6,264|478,56,100786|100788,,045428|549276|781310|834769|942167,000122|514471|537262|666476|955619|361069|534015|563992|835535|989425,012390|298720|418831|534464|831712|048032|314320|424710|552650|845202|048807|321130|430557|557780|854373|098027|344679|455640|579319|854523|102275|356546|460007|654438|862423|123254|372183|496148|666515|959764|125303|377021|499730|695859|968067|161526|384755|531016|719803|976709|192902|403130|531096|749459|979472|264921|416730|534006|801753|992357,002411|171228|396937|631760|806796|027794|172290|419435|634249|807090|055378|176734|422549|640545|814621|070278|198352|436283|643148|816303|074286|220814|442848|660801|819500|078885|221559|447311|661212|827565|079447|241177|450932|675293|832256|094164|241388|464687|689644|832366|098210|242411|466087|698019|851665|111775|250132|480923|720264|854002|112386|272615|484238|722521|866811|120550|282222|486075|731545|885821|122316|298389|501997|739054|901749|124588|303542|504809|740784|902502|128066|310186|511504|744846|911660|149889|330476|523822|749896|922805|153003|347647|526368|750307|924815|154361|355731|546885|771554|937065|156590|368238|606885|796305|960957|162727|393069|612850|797266|973418,True,https://myhora.com/lottery/result-16-04-2564.aspx,2021-04-16-BE2564.html
2021-04-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 เมษายน 2564,2564,472270,6,393|577,05,472269|472271,,004754|115222|182118|697143|806923,034428|140300|308360|603307|927262|041251|215319|505929|757887|930328,021758|186107|360355|504665|806346|025166|199591|384012|584031|825223|027180|242951|403589|621370|872136|054219|282870|408126|636933|929472|085354|294073|411273|642743|938467|085604|294430|446001|648707|942949|127672|317602|468083|723558|955048|150300|318502|474839|775867|966168|158496|333484|480817|777286|970594|172625|358158|502632|779308|983606,010715|234265|436695|645744|848710|010737|236104|443395|650541|855889|049095|241697|447993|674157|857947|055348|244877|448923|681690|867192|057865|257182|464403|688856|873653|089547|292470|465399|700117|879987|098764|293203|494461|708213|888856|133956|306559|525905|731047|890542|150689|308725|563848|738605|912488|172790|317688|571108|740025|928799|182832|364974|572045|754249|929030|183184|368912|573551|755371|932753|185424|371080|573834|761521|943937|187112|388363|580186|761902|948058|192707|398580|582583|775436|951594|196410|403292|585114|792776|952123|219866|408150|598333|813792|971038|220423|410717|606925|822430|973371|223223|414100|624571|840816|982919|225968|416767|635637|848619|988071,True,https://myhora.com/lottery/result-01-04-2564.aspx,2021-04-01-BE2564.html
2021-03-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 มีนาคม 2564,2564,890422,6,256|396,19,890421|890423,,108712|468867|763118|864678|996425,363671|595842|715804|784244|868760|511727|649703|746045|849684|884862,000214|142171|349282|592472|782186|001448|160996|358285|611659|832324|054051|165316|426131|650983|886211|055770|243552|473410|651811|893677|057280|244428|474887|691729|912621|071029|267901|476362|692182|912808|100317|327102|480174|717023|913253|103100|331987|497761|741913|915877|119621|332262|507165|769618|943445|140877|345255|529130|774595|960855,010572|268991|435530|649066|838507|034643|273670|437337|661016|847406|039498|281895|467405|663559|872924|054986|285895|472601|675508|876987|055831|294530|474296|691724|877249|067586|301388|476010|694906|881658|081566|316247|513315|702411|896635|083140|341132|520748|720199|900562|093297|345218|530062|746247|905361|110285|347668|533236|754958|911221|110774|367955|544643|759821|911624|113731|369946|547559|770260|917169|187813|372959|560472|772678|927730|197566|387539|562155|774474|940904|213690|392077|572012|784134|942870|221671|396727|572761|788904|945539|248275|407482|600228|804914|949766|251484|418289|619261|808971|992013|255791|425065|621718|828270|993445|268894|430107|639935|836106|996906,True,https://myhora.com/lottery/result-16-03-2564.aspx,2021-03-16-BE2564.html
