draw_date,draw_date_text,year_be,first_prize,first_prize_digits,last3_numbers,last2_number,near_first_prize,special_first_prize_raw,prize2_numbers,prize3_numbers,prize4_numbers,prize5_numbers,has_detail_section,source_url,source_file
2026-05-02,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 2 พฤษภาคม 2569,2569,xxxxxx,6,,xx,xxxxxx|xxxxxx,,xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx,xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx,xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx,xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx|xxxxxx,True,https://myhora.com/lottery/result-02-05-2569.aspx,2026-05-02-BE2569.html
2026-04-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 เมษายน 2569,2569,309612,6,424|868,77,309611|309613,,097722|175203|419269|482398|554697,136798|443166|742087|753452|870392|366037|575200|746898|806727|916619,053998|174044|519700|639438|763127|063511|191638|523030|664256|771741|087692|219234|526441|665957|775366|103606|245767|536982|669565|781515|105308|256607|560388|682006|817667|133661|260122|569028|700367|859129|143294|280931|602668|701682|866515|159301|413706|627895|713879|903397|161295|458972|633305|719367|921061|171491|481134|637866|752784|961998,006709|262875|443484|690050|851127|008071|269683|462241|699417|862070|018321|292940|463548|702950|872142|039841|295988|466167|704823|873729|039918|308944|473913|706055|880710|042198|319234|478025|709974|883015|042696|321989|487412|723263|884575|059540|341672|489311|724065|884864|070427|346756|502854|726415|895466|075215|359644|514910|749418|901907|079596|363303|525909|749434|921882|088861|374579|550509|764313|923385|125652|377113|567120|765161|946972|135907|390298|575626|769247|949145|136308|394301|580352|785377|952338|169267|405032|614737|793808|956236|187260|424666|629560|799609|972150|197303|430855|643979|805961|973932|207763|430918|661367|809679|981667|261302|431029|671239|812045|996052,True,https://myhora.com/lottery/result-16-04-2569.aspx,2026-04-16-BE2569.html
2026-04-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 เมษายน 2569,2569,292514,6,098|851,47,292513|292515,,276356|381790|491941|730992|865308,004579|129247|487893|545393|687640|030158|197088|500244|617221|813180,013473|168852|368651|534193|788225|021194|176304|372875|580059|791935|042330|197553|380592|635067|792441|045400|246542|397622|635350|820763|075461|271839|398495|676520|838541|087837|296599|407928|709110|849259|092869|300280|446249|731246|903204|101818|323800|451401|743917|905611|109229|337839|458029|749940|921227|128592|359109|458151|761829|935926,011457|224323|464963|629646|764199|033938|224460|484187|637544|768138|042268|230826|486789|665874|786008|042727|251253|489851|669930|786782|043015|263052|495163|672322|829189|063019|264086|496887|676838|843454|064264|267956|500201|682252|868974|065689|283793|513096|684178|874151|073445|316043|520468|684611|895575|107309|321191|525809|708860|938158|107453|323975|527304|710743|944944|131887|349831|538210|712328|946965|142533|374934|550380|715385|951109|144902|383606|556681|716818|952713|154464|405436|560876|731068|955113|178232|437053|566905|738578|961660|188600|437489|575825|751589|969503|189029|443538|581870|753194|978092|201857|456060|611148|755515|980041|209872|460073|616595|755992|989259,True,https://myhora.com/lottery/result-01-04-2569.aspx,2026-04-01-BE2569.html
2026-03-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 มีนาคม 2569,2569,833009,6,439|954,64,833008|833010,,117025|179593|374236|397484|735523,059493|182277|404097|577743|654498|138565|298749|487540|625073|837597,007567|180744|321823|555748|797796|029255|201187|324346|565081|812558|059485|212645|324916|579461|820609|070451|236689|395110|603558|850019|077905|246777|434858|669082|869653|078977|249388|446056|675895|954048|089857|272045|459757|735221|960949|092685|280129|469188|736554|966241|107914|311922|503941|745920|978750|139317|311988|506568|746770|997677,017302|175727|396223|619290|837068|022869|192312|404850|648647|839524|031227|202155|405743|658083|841507|032558|217417|420840|664006|842453|040017|238719|421239|686557|859319|053363|247185|422025|700094|878413|054220|248160|426445|705090|906900|060705|261044|461514|705159|913334|061436|261105|467533|709068|913523|066369|263925|476995|712646|918203|069126|282835|483882|717271|918949|081659|298403|486260|724005|931437|083222|299654|499190|745140|958669|090173|308776|515904|769134|960056|121582|312487|547491|782509|963508|129636|325318|558370|797189|966376|134959|334816|564499|809274|977089|139611|335661|588245|812630|983987|142662|336209|592181|813220|984866|159666|358156|599204|828287|985993,True,https://myhora.com/lottery/result-16-03-2569.aspx,2026-03-16-BE2569.html
2026-03-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 มีนาคม 2569,2569,820866,6,068|837,06,820865|820867,,320227|328032|373865|716735|731233,020061|135646|148874|255067|680266|085123|140134|194429|262799|848897,044722|216891|411233|588075|811332|047452|222751|413688|623450|813746|054740|286487|432973|630041|832799|099628|292734|467392|646395|848712|113897|295304|491415|716797|880832|127029|323190|535378|738248|885962|132045|332699|540947|757121|907668|187985|347818|541290|779499|925072|193102|380961|586410|784679|937022|205964|410260|587360|792492|980352,000698|210279|430013|702405|842499|005234|211840|454166|704497|844523|012257|226259|456304|713934|853789|023809|237772|458185|724127|859020|047642|238233|462043|746295|901478|047868|239806|492932|756658|910398|060975|249742|499550|771529|915138|064933|263722|502565|771654|922493|067965|281712|514523|778199|927034|076812|289011|529176|787410|927715|080931|297471|557396|792984|927971|101102|298748|568699|794359|930901|122622|310238|597602|796059|934789|130650|355319|602057|802249|942374|132441|369368|625677|816941|946014|168204|393503|627411|818143|966248|170707|393946|647305|820038|971932|191294|406776|672686|833673|978290|194903|411270|677912|841013|991285|206129|415731|685726|841373|996758,True,https://myhora.com/lottery/result-01-03-2569.aspx,2026-03-01-BE2569.html
2026-02-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 กุมภาพันธ์ 2569,2569,340563,6,169|578,07,340562|340564,,141731|232421|592642|844413|989430,091363|336460|481655|593950|706117|325667|403643|544779|705717|931139,010991|267020|399742|632544|737542|029598|287645|437396|640597|753593|106897|315710|441869|650620|791628|112342|330659|451375|651065|813106|120081|332801|455955|652050|815586|152090|339779|470652|656539|825953|188690|344110|480425|661302|832376|234877|346566|506803|664492|870059|251245|354000|544952|682866|875341|252428|364692|553845|724668|904667,000181|215785|415246|670634|825988|005392|232090|415333|673579|827871|032041|236326|423105|676645|829801|045462|242385|449391|677699|871406|056569|259108|461495|685397|879692|056966|269636|463023|701983|880028|091712|282191|481006|710193|895106|092591|291189|499082|711698|906181|092753|306511|507392|716936|912351|097736|311338|515983|724659|926884|100773|354486|558699|727700|933783|120396|356600|573135|746865|942111|129234|357774|575953|748930|950503|151145|360378|593410|760824|961620|156166|361467|599711|764903|965090|183240|362606|612667|791125|975000|188025|383949|626514|797775|975701|199082|409092|641784|809292|982957|210958|411418|650786|814200|989902|214935|413125|655877|820196|994606,True,https://myhora.com/lottery/result-16-02-2569.aspx,2026-02-16-BE2569.html
2026-02-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 กุมภาพันธ์ 2569,2569,174629,6,041|408,48,174628|174630,,048036|374502|602910|679914|889775,145551|216443|319246|479569|592665|167591|236455|428751|586374|893288,004427|266256|391432|613010|771134|048178|275320|407126|630109|796321|192972|282059|423483|633827|804105|208769|287243|427968|651287|808593|241852|287292|469942|655598|811271|242652|297562|538731|695755|839220|242893|326375|542764|710588|866166|246525|328346|600759|718890|870519|247143|350883|604778|736797|963842|249030|377600|609198|755949|993587,000575|225058|383514|562923|768482|001748|237806|383649|591145|795361|004032|251893|393701|618658|798378|005170|260267|396449|632552|817156|015930|260592|423344|632576|832668|028288|264668|426735|634513|835232|036929|266525|454523|635894|841210|039168|268024|472821|642707|845518|049786|271442|473151|649677|865332|054311|274462|475522|651872|867328|054754|296996|476748|664084|874265|069035|299277|493820|674634|891763|089447|306934|529898|678358|892661|090116|307310|532159|681109|902162|103304|312009|537830|681325|927213|103742|337975|539052|688316|944716|118346|363371|544055|736785|958247|120536|378697|544162|752340|961591|211832|379999|560604|764377|969437|222763|380022|560970|764459|983524,True,https://myhora.com/lottery/result-01-02-2569.aspx,2026-02-01-BE2569.html
2026-01-17,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 17 มกราคม 2569,2569,878972,6,363|662,02,878971|878973,,381104|462362|563562|622849|931181,005672|157664|380491|686827|905332|088655|285770|646751|699496|979726,001710|254537|510478|728151|879899|002620|268609|512262|745233|889623|006309|270365|551909|771155|926582|042793|277608|573339|788489|927217|065792|294448|598330|814326|927260|122890|346569|620850|854584|952673|164034|363669|643690|862771|995397|175674|417200|688173|868930|996582|199915|452664|721192|869773|998307|199940|457942|722565|879301|999550,009758|286958|503014|647749|804800|038904|297088|506191|652725|823092|046832|300978|515363|665269|846597|083305|309263|525227|673452|847175|093672|319811|526792|680068|854554|101871|326896|548671|681772|860639|126380|349688|555032|693203|866909|132019|359189|565481|694064|868816|137111|364909|581182|695518|876545|146903|365921|583146|724879|880770|154832|372940|583377|725483|889967|166304|379968|595449|741541|898049|173168|388033|596525|744746|905143|175461|397231|602920|755941|912392|191522|415485|605785|769970|934025|205946|416015|615504|786195|941065|223884|422645|627745|793895|954128|225615|456745|628189|802971|971380|251887|468503|633891|804117|991538|281168|477066|643420|804125|996466,True,https://myhora.com/lottery/result-17-01-2569.aspx,2026-01-17-BE2569.html
2026-01-02,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 2 มกราคม 2569,2569,837706,6,288|765,16,837705|837707,,104358|305133|385829|457856|684306,103473|382760|575153|681226|894798|159182|504323|625781|722678|979539,009137|148251|419565|634579|834392|042954|163336|427938|647791|881589|058705|175600|466069|677190|911760|069926|220479|469546|698230|912641|077284|227852|474446|704317|921197|087948|292496|494774|753231|951422|090488|296302|496946|770594|954784|098742|371805|525124|774682|957579|108995|382601|551002|797998|964534|135686|390901|602969|819949|984709,010762|246256|400569|609021|809872|018511|247750|420175|611097|811115|029852|256779|425533|612654|819472|052624|257054|426357|640649|821550|066467|257232|433131|650697|822494|066787|260275|446114|665308|840775|072218|277191|467985|675396|843173|079513|282425|472179|688159|856698|085369|301018|476148|698015|864451|099278|313200|501262|698943|877382|101187|324836|506069|713690|903515|118074|340396|507558|722077|908959|141964|344451|514704|741171|923396|143859|347555|514983|744292|933456|154759|347916|519010|746917|933489|154810|352780|525380|769384|936436|161209|377579|539302|772677|956587|165037|384097|546351|779319|967666|218883|392022|577013|789457|968928|219402|394615|596598|802029|992325,True,https://myhora.com/lottery/result-02-01-2569.aspx,2026-01-02-BE2569.html
2025-12-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 ธันวาคม 2568,2568,763895,6,014|449,52,763894|763896,,175105|223276|472864|554757|643258,001046|044280|457067|577411|885722|005846|425723|522202|798981|936527,016995|220476|402228|680749|822812|028552|239542|424289|680971|846195|083310|240998|430795|706474|848756|109106|245281|476151|722477|855166|124171|249394|476537|734278|856995|126549|319961|500358|743490|893933|141431|326028|545104|778981|929394|148085|347046|563287|784299|942447|150646|354717|580224|786341|981976|200235|378677|660044|809390|992179,031687|207698|366350|556536|773415|054254|214269|367447|561550|792961|060709|219332|370035|576637|794557|064555|230150|382543|593767|804225|070933|243396|386953|594201|808189|076035|247752|393827|599134|813028|078831|255761|400408|609122|813318|085470|258415|404666|610535|838156|099581|269655|406128|613662|849227|100810|269820|407909|618174|855236|114040|276625|408633|669531|858723|133866|276973|412864|692224|863630|136896|277875|434501|696602|866667|141043|283389|436991|727320|877820|141075|284948|445026|728838|888102|151762|290773|476955|743117|894783|160782|319407|477301|753957|896923|162181|340050|479700|763102|923423|171645|356029|497116|764309|942123|202551|356680|527716|768932|980235,True,https://myhora.com/lottery/result-16-12-2568.aspx,2025-12-16-BE2568.html
