draw_date,draw_date_text,year_be,first_prize,first_prize_digits,last3_numbers,last2_number,near_first_prize,special_first_prize_raw,prize2_numbers,prize3_numbers,prize4_numbers,prize5_numbers,has_detail_section,source_url,source_file
2016-12-30,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 30 ธันวาคม 2559,2559,377712,6,477|769,46,377711|377713,,109888|300727|431808|470627|570884,195846|384080|504550|643382|953707|226689|445054|605454|835498|955844,004014|221625|382500|673202|857009|005469|253321|407510|682368|883053|020245|261765|481649|701993|883072|080054|273668|490891|725861|915169|105007|289049|497574|767028|928684|145747|297660|519027|771733|946689|152321|323413|533989|771901|946819|160135|324057|545196|788059|961151|192008|351860|582167|836655|970248|209825|370737|659108|848260|993426,002423|184543|400059|616762|730780|016624|190655|403557|618372|771227|025808|203387|405737|621649|780277|029542|221995|425609|624348|787520|033706|266864|449988|631829|791688|036842|283097|469288|636050|792633|049272|288144|477479|637350|806381|077100|293344|479812|650183|884019|084769|294474|496489|661245|904001|085856|303446|521347|662040|905916|106012|307723|522140|662205|910653|112743|308159|524945|669930|918568|121533|317944|535715|672058|932031|121772|323387|560083|678490|934567|126695|342009|567905|684129|949147|142942|356007|582101|691184|949955|151963|359391|590824|694987|972277|164820|373745|614370|705458|982808|165155|391268|615429|712416|986075|183803|394594|616666|730669|987572,True,https://myhora.com/lottery/result-30-12-2559.aspx,2016-12-30-BE2559.html
2016-12-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 ธันวาคม 2559,2559,435286,6,199|716,35,435285|435287,,102788|114281|433199|552873|868604,172301|343719|453602|595035|717196|336365|389749|533201|654238|804528,012831|227645|457774|545363|747300|094926|249924|473779|556797|752838|096068|320448|488004|569693|784547|113052|324279|489544|597372|791708|153857|343412|491982|619638|799774|168258|344299|494859|696151|811564|179428|363301|502899|699045|856703|184822|385619|507823|699351|872674|205719|402699|530533|700678|894569|225252|406761|531903|738614|963014,011505|242868|436138|618439|801164|028372|250616|437405|624082|808822|039500|253880|443282|627350|829001|065139|255554|452924|636985|832525|067030|255583|464528|659446|836261|069983|257313|468643|660860|846804|079839|262221|498751|662450|888730|080975|264232|508877|664360|906338|102747|270438|521760|668216|918617|103657|279545|537068|678496|919505|123253|300115|544540|682868|922905|132020|311700|555602|694707|927038|144940|327445|559594|694794|931353|146404|353483|562740|702932|936786|160836|369784|569625|749186|949892|170905|384193|591251|757785|960940|192289|400205|598869|762237|961966|204189|409920|602654|766007|977682|234581|417963|609108|773351|983987|238498|419659|615650|794695|991732,True,https://myhora.com/lottery/result-16-12-2559.aspx,2016-12-16-BE2559.html
2016-12-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 ธันวาคม 2559,2559,086069,6,148|450,77,086068|086070,,388271|527562|654690|926047|951015,102292|306629|367033|509783|788332|165201|323395|385644|563907|921065,004249|176525|297803|548589|776482|005922|190659|324210|551747|824558|040355|205084|330059|556785|838048|047865|208885|336389|626805|891086|050740|209386|391286|637064|909451|056581|222495|410942|659264|930445|094323|276816|416489|660601|935129|142773|285184|423597|691436|987480|159032|290484|472271|741145|991231|165297|295729|501971|742479|995441,004605|145772|380336|547045|730290|006909|153163|387375|549865|797773|009284|158875|393186|559232|807276|013121|158918|397013|566307|809616|020055|160854|412740|591314|831464|020482|192628|413093|621073|840721|025486|197772|413544|633000|854898|040083|204318|420388|643670|862736|049049|237885|439183|645352|864538|053212|245785|451978|650443|866995|057471|257909|452725|653863|868936|067848|263854|456268|658881|872181|087667|269748|461315|663207|876556|087965|287930|466276|669470|877916|088888|289803|474169|685205|911946|110610|291435|488495|686292|948061|113935|301452|492346|695573|954743|115133|308400|494411|699035|958880|123788|326214|500021|705001|980746|136001|370394|510181|728025|997908,True,https://myhora.com/lottery/result-01-12-2559.aspx,2016-12-01-BE2559.html
2016-11-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 พฤศจิกายน 2559,2559,858383,6,558|570,44,858382|858384,,269401|516556|620723|793819|929209,035229|054244|324139|684304|742303|040765|231277|657856|734001|826769,013516|317004|534836|643150|837552|044633|354869|537745|692608|851020|046564|377384|543182|695356|866276|058520|399741|553790|701779|885178|120379|414849|597519|707235|918856|126930|430695|597638|713262|954422|190101|441172|601954|724044|955430|245645|482794|602636|738942|979196|286185|523234|606266|781451|985581|308829|527290|621844|800870|990756,010964|215492|364135|500417|788747|030290|218546|367147|508127|807748|037468|219059|368169|528117|834723|040986|223498|371709|533758|837206|049142|225375|372766|556230|859210|063645|225929|386972|571288|868033|080339|235010|388917|600200|869846|098435|236896|396499|625781|886439|104505|251628|396995|631251|892452|105278|255099|401096|638278|908026|113085|258751|405016|640842|916791|139864|276101|425422|642157|918548|146685|276160|437645|647342|922034|147382|302064|442578|678561|923569|150281|327916|464656|680675|933367|163938|337207|467792|706587|938818|165415|340102|471188|716083|946225|177125|344787|472949|779013|969205|190371|354256|486225|779438|974362|203817|358984|489561|788462|979474,True,https://myhora.com/lottery/result-16-11-2559.aspx,2016-11-16-BE2559.html
2016-11-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 พฤศจิกายน 2559,2559,785438,6,038|752,86,785437|785439,,247447|418289|582552|836111|880842,020841|310374|384358|637083|809958|246579|319594|602752|773128|964670,011635|241074|381966|595877|819650|012292|241343|484381|643739|819859|069009|252127|501903|663588|828619|071142|295764|533263|671549|831643|074600|302008|542696|703735|836222|082791|308591|547697|718505|842026|111883|311043|550233|718662|880205|128561|312792|558245|769535|938988|131484|365092|564482|771231|991151|237011|379879|585658|783775|996666,016220|274581|458336|662992|854794|043267|279994|465569|673746|867314|046318|281936|489377|676388|882494|054409|291214|495962|676767|883050|071271|305351|505111|677900|899739|086548|313193|517661|682289|916171|107245|322282|529569|691863|921490|117361|322567|530143|692717|922164|135228|338956|547697|700752|923053|135912|340692|548985|700878|934253|169638|350315|549360|727490|939018|186056|362270|549469|735984|945396|192960|392433|559735|740200|945704|209971|402680|564459|740939|945786|218613|414452|571335|740992|955048|243652|416664|610128|762233|966947|250746|433183|634199|772971|969297|257737|435807|635601|835575|972071|272360|439513|639214|844158|979487|274332|450224|645045|853862|997032,True,https://myhora.com/lottery/result-01-11-2559.aspx,2016-11-01-BE2559.html
2016-10-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 ตุลาคม 2559,2559,571947,6,032|587,98,571946|571948,,157480|347351|747217|869237|881031,283168|546183|600368|781416|988847|410130|547649|674934|809809|989156,038640|253356|466185|602068|774142|053966|272358|467728|633244|807824|065711|288442|482319|642311|808930|092407|300793|499345|649356|838930|115729|308217|528828|702530|841544|124114|332818|533774|705313|868134|208006|365636|553324|739096|870190|220308|396239|562671|744470|926836|225962|446083|573093|759498|931329|233464|447326|583070|764768|960288,002473|121419|349341|581308|794854|011060|122862|351740|582729|813818|014363|127248|359235|590599|814830|022037|139184|370998|601422|816797|028424|142658|386035|604498|823846|031348|153002|386274|614282|827108|032557|171875|428578|641756|827366|033396|175640|447822|644404|832870|041645|181703|452262|681601|863809|061810|182438|458581|688401|868565|066656|189769|474843|719169|873218|067376|194272|477482|725109|877239|085397|200161|483518|725808|881666|088042|252502|501910|728579|881926|092381|256195|502973|735020|887227|093720|262187|506977|754962|893837|098994|301038|519868|757223|933070|099519|310496|532514|761575|970012|111823|322856|561545|763462|979162|118177|339855|567774|782068|996119,True,https://myhora.com/lottery/result-16-10-2559.aspx,2016-10-16-BE2559.html
2016-10-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 ตุลาคม 2559,2559,887102,6,017|458,33,887101|887103,,298683|441967|489531|895053|895362,100351|334461|615421|699018|867061|109314|408004|635579|774732|945977,006396|185212|297116|472974|686404|028658|192710|345085|485160|688730|035595|201976|352590|509756|715502|045230|203038|374529|532593|721086|102927|215749|390309|538721|769635|132886|228953|390504|578047|830777|142485|241079|411129|586406|832462|143651|250184|424600|620278|868556|152466|278410|430485|665306|896945|170099|285621|446126|674750|898888,024273|205401|350520|609848|854946|043141|205588|352521|619340|856116|060806|211960|353572|628870|860764|074276|218957|356932|683364|863180|084251|233082|359975|685161|871782|086992|236644|363209|719455|878853|088075|239760|376120|721305|884128|096412|254402|394851|725962|884727|100708|254469|427490|743456|899326|112480|261734|433585|753821|903008|117534|267830|436916|762436|913530|123205|268803|462243|764381|924761|136038|269097|463367|774913|924842|141126|270321|472848|775198|934305|161471|276812|478458|777182|938974|179666|285373|513476|777638|948781|187004|286057|521170|795606|968244|190548|292489|522124|816032|982842|201531|298701|577810|849077|994479|202594|308514|593334|851119|998128,True,https://myhora.com/lottery/result-01-10-2559.aspx,2016-10-01-BE2559.html
2016-09-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 กันยายน 2559,2559,240650,6,043|160,42,240649|240651,,031023|121525|476092|579775|724016,175838|315642|554467|697156|734834|247802|434176|662996|710131|917751,018663|226402|460619|536869|818799|023326|261267|461868|567878|843031|029258|287673|467783|666464|860715|056276|313290|474500|680097|865953|066510|349223|478204|713564|899872|142268|357517|492885|719988|912517|143577|374302|495519|723381|918529|194080|382382|498897|726162|936352|200650|422228|530266|767203|947755|200696|431260|536851|769667|978825,003685|233771|442147|620010|811675|008732|240948|452594|634099|829102|022095|244507|462725|636898|830905|028176|275428|472914|639443|836500|037580|278401|478836|651384|847110|041562|282264|484231|655516|853493|059142|294081|495072|658747|874081|064591|300305|501815|681033|876886|072288|313373|507117|682415|882178|105499|323509|507159|690702|882648|105565|323702|516891|690919|886751|109771|326834|525710|694738|898139|177720|341464|530358|694798|901683|179475|391364|531827|724216|922967|201962|392082|537499|725227|923609|202732|398678|549859|729494|929673|209720|400639|550965|742762|934484|210538|400899|565531|757245|944389|210570|417794|585632|788955|984135|221230|422957|589267|801069|986936,True,https://myhora.com/lottery/result-16-09-2559.aspx,2016-09-16-BE2559.html
2016-09-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 กันยายน 2559,2559,638684,6,630|669,62,638683|638685,,011186|330834|512209|623481|689393,056381|076554|348341|861139|896935|062894|330092|352887|884056|999044,045809|222577|388914|596388|762348|053231|278855|390776|610690|784081|075503|290323|411531|633459|846361|082621|300742|414494|646082|849103|084267|334383|439120|649523|874314|099962|345183|445919|682302|914958|103776|351010|476010|682664|948569|146132|356293|492123|699704|988457|157522|366534|535521|707546|996562|188683|386286|567335|744031|997919,006509|156510|412541|589485|803618|012867|158377|420732|608328|818792|013393|183952|420993|634296|823716|014779|187402|433548|634440|842072|030212|189350|439692|638230|845261|037503|189820|465203|639586|855291|045315|236776|467491|655194|855482|064925|239605|468815|663326|856884|064988|241248|471249|691350|883126|067149|244738|483376|708995|885643|078705|277269|514029|715168|907581|083332|302298|538116|716570|915111|083417|330461|538929|725016|919871|087936|331936|548660|729811|926153|095604|342573|549347|759521|926341|103029|345762|556926|759892|943377|115634|389890|559537|769992|950361|116334|392277|577934|794073|956421|136236|408503|579227|794556|981458|152241|411740|580680|799294|985473,True,https://myhora.com/lottery/result-01-09-2559.aspx,2016-09-01-BE2559.html
2016-08-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 สิงหาคม 2559,2559,254004,6,596|631,33,254003|254005,,148217|318902|832477|838656|912375,216995|319940|406175|531726|594652|295628|350803|506765|583490|883798,054442|241076|423842|602930|770393|063901|270526|436867|612885|774843|068993|278915|470625|623940|810367|078780|323950|488187|627669|827901|086268|357031|539113|661398|830991|096967|359022|551361|665315|840974|103469|362307|556998|677690|899567|111416|397576|591077|695619|900487|134494|413078|595267|742598|923634|152338|414891|601459|749759|991262,004385|116032|316617|453224|708384|009843|121897|339171|487472|718076|016276|126761|339561|502138|719347|021007|127410|339946|502883|745656|022558|142789|349206|504280|756413|024185|159798|372459|520562|765660|030711|164174|386712|526858|771642|035527|166313|388038|539570|772915|036241|170119|396740|583340|802968|056521|174470|401155|590089|824296|059011|176428|403297|618900|834633|065107|178335|403306|623408|836431|078087|203634|406919|623590|857461|078236|208084|414849|623937|870296|096977|211297|416741|639225|886079|098323|227279|427476|641897|908706|100498|267671|427562|643196|913890|102781|278613|428697|666292|921527|107118|287822|444492|669694|934993|107850|309008|450412|675741|971642,True,https://myhora.com/lottery/result-16-08-2559.aspx,2016-08-16-BE2559.html
